PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated
"1365434","Brattmyhr, John","125 år på Skansen : historier för liv","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Skansen 125","10","27","2016","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-2118","2ca8e370-508d-4342-9e89-a20592a1dd4d","","Skansen","Annan humaniora (605)","Skansen","","","","","","","","","","","","","","","","2019-10-24","2019-10-24","2019-10-28"
"1307079","Falck, Per (Nordiska museet [877150])","1700-tal i repris : nya fakta om gamla möbler","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Tack vare våra vänner!","25","44","1993","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1675","ff0b6dc7-5b56-4c2f-b47d-41bc610eff08","","Möbler;1700-talet","Historia (60101)","Hem och bostad;Materiell kultur","","","","","","","","","","","","","","","","2019-04-25","2019-04-25","2019-05-02"
"1323027","Ciszuk, Martin","1700-talets sidentyger : analys och inspiration","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Tyg överallt","180","195","2002","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1833","c54f3edc-9ea3-4b53-a2e5-b091d01b7d21","","Sidenvävning;Sverige","Annan humaniora (605)","Dräkt och textil","","","","","","","","","","","","","","","","2019-06-11","2019-06-11","2019-06-12"
"1304965","Garnert, Jan (Nordiska museet [877150])","90-talsperspektiv på elektrifiering och trefasteknik","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","90tal : visioner och vägval","85","96","1991","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1618","6ae9bb98-bfe1-4c8c-85d6-f6f6ebb53463","","El;Elektrifiering;Trefassystem","Annan humaniora (605)","Historia","","","","","","","","","","","","","","","","2019-04-15","2019-04-15","2019-04-24"
"1333922","Tin, Mikkel B.","Abstraksjonen i et moderne maleri og et tradisjonelt broderi","Kapitel i bok, del av antologi","Övrigt vetenskapligt","nor","","","","","","","Formgivare: folket","119","134","2005","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1873","ce86faa7-44a7-45a4-94fe-e53bf9fb3752","","Textilier;Folkkonst;Måleri;Broderi","Humaniora och konst (6)","Dräkt och textil","","","","","","","","","","","","","","","","2019-07-02","2019-07-02","2019-07-05"
"1292321","Wallin, Sigurd (Nordiska museet [877150])","Adelshovets heraldik","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","61","76","1961","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1224","c76ecfd4-2c84-4671-a76c-26dac88c97ed","","Heraldik;Adel","Humaniora och konst (6)","Kulturhistoria;Historia","","","","","","","","","","","","","","","","2019-02-27","2019-02-27","2019-03-04"
"1235592","Fleetwood, George W (Nordiska museet [877150])","Adelsuniformen","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","13","28","1940","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-529","94910a55-c58e-4881-b297-7a292f41e727","","Uniformer;Adel","Etnologi (60503)","Dräkt och textil","","","","","","","","","","","","","","","","2018-07-26","2018-07-26","2018-11-05"
"1235427","Meyerson, Åke (Nordiska museet [877150])","Adligt nöje : Tornering och ringränning under äldre Vasatid","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","137","148","1939","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-503","1cf5e792-6e34-4aa4-9443-bf71480eb03e","","Torneringar;Adel","Etnologi (60503)","Sociala och kulturella identiteter;Vardagsliv och berättande","","","","","","","","","","","","","","","","2018-07-25","2018-07-25","2018-11-05"
"1313359","Almgren, Li","Adopterad till Sverige","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Alla vi svenskar","82","98","1996","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1712","ca4869df-4f7e-4719-8ccc-6d0097b150dd","","Adoptivbarn","Annan humaniora (605)","Sociala och kulturella identiteter","","","","","","","","","","","","","","","","2019-05-03","2019-05-03","2019-05-03"
"1245616","Keyland, Nils (Nordiska museet [877150])","Afbildningar af notredskap","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Kulturhistorisk tidskrift","223","241","1914","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-755","d28c3eb1-21bb-4fe3-a023-08ae05c89241","","Fiske;Fiskeredskap","Etnologi (60503)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-09-05","2018-09-05","2018-11-14"
"1232480","NN, nn (Nordiska museet [877150])","Afbildningar af sigillstampar tillhörande Nordiska museet","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Meddelanden : 1889","43","45","1891","","","Stockholm","Samfundet för Nordiska Museets främjande","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-188","c9354e38-03bc-4aa2-aa3c-f5884fc33be4","","Skråväsen","Etnologi (60503)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-07-11","2018-07-11","2018-11-22"
"1256303","Sjöstedt, Yngve","Alarik Behm","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","167","170","1945","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-961","f775b685-9360-4840-88e0-493a4cc5ac4d","","Alarik Behm","Etnologi (60503)","Etnologi","","","","","","","","","","","","","","","","2018-10-16","2018-10-16","2018-10-17"
"1304699","Szabó, Mátyás (Nordiska museet [877150])","Albert Eskeröd : 1904-1987","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Den kultiverade naturen","221","222","1988","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1600","f8fd5541-08cb-4475-9213-418a3077a0b5","","Nordiska museets personal;Albert Eskeröd","Annan humaniora (605)","Nordiska museet","","","","","","","","","","","","","","","","2019-04-12","2019-04-12","2019-04-23"
"1346185","Waldetoft, Dan (Nordiska museet [877150])","Album och ideal : svaren på en frågelista om amatörfotografi","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Amatörfotografernas värld","122","139","2009","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1962","7c4ef419-ff13-4228-a42c-18ee12cfa6f2","","Amatörfotografer;Amatörfotografi;Fotografi;Nordiska museets frågelistor","Annan humaniora (605)","Kulturhistoria;Vardagsliv och berättande","","","","","","","","","","","","","","","","2019-08-27","2019-08-27","2019-08-28"
"1302117","Arnö-Berg, Inga (Nordiska museet [877150])","Alexis Engdahl - en skaffare i Artur Hazelius tjänst","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","43","56","1983","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1522","09dbc40a-c4c3-46a0-b9c4-aaeb5123933c","","Föremålssamlingar;Museisamlingar","Annan humaniora (605)","Museologi;Insamling och samlingsvård;Nordiska museet","","","","","","","","","","","","","","","","2019-04-03","2019-04-03","2019-04-05"
