Name,PID,Title,Keywords,StartPage,EndPage,Pages,Year,NBN
"Brattmyhr, John",1365434,125 år på Skansen : historier för liv,Skansen,10.0,27.0,18.0,2016,urn:nbn:se:nordiskamuseet:diva-2118
"Falck, Per",1307079,1700-tal i repris : nya fakta om gamla möbler,Möbler;1700-talet,25.0,44.0,20.0,1993,urn:nbn:se:nordiskamuseet:diva-1675
"Ciszuk, Martin",1323027,1700-talets sidentyger : analys och inspiration,Sidenvävning;Sverige,180.0,195.0,16.0,2002,urn:nbn:se:nordiskamuseet:diva-1833
"Garnert, Jan",1304965,90-talsperspektiv på elektrifiering och trefasteknik,El;Elektrifiering;Trefassystem,85.0,96.0,12.0,1991,urn:nbn:se:nordiskamuseet:diva-1618
"Tin, Mikkel B.",1333922,Abstraksjonen i et moderne maleri og et tradisjonelt broderi,Textilier;Folkkonst;Måleri;Broderi,119.0,134.0,16.0,2005,urn:nbn:se:nordiskamuseet:diva-1873
"Wallin, Sigurd",1292321,Adelshovets heraldik,Heraldik;Adel,61.0,76.0,16.0,1961,urn:nbn:se:nordiskamuseet:diva-1224
"Fleetwood, George W",1235592,Adelsuniformen,Uniformer;Adel,13.0,28.0,16.0,1940,urn:nbn:se:nordiskamuseet:diva-529
"Meyerson, Åke",1235427,Adligt nöje : Tornering och ringränning under äldre Vasatid,Torneringar;Adel,137.0,148.0,12.0,1939,urn:nbn:se:nordiskamuseet:diva-503
"Almgren, Li",1313359,Adopterad till Sverige,Adoptivbarn,82.0,98.0,17.0,1996,urn:nbn:se:nordiskamuseet:diva-1712
"Keyland, Nils",1245616,Afbildningar af notredskap,Fiske;Fiskeredskap,223.0,241.0,19.0,1914,urn:nbn:se:nordiskamuseet:diva-755
"NN, nn",1232480,Afbildningar af sigillstampar tillhörande Nordiska museet,Skråväsen,43.0,45.0,3.0,1891,urn:nbn:se:nordiskamuseet:diva-188
"Sjöstedt, Yngve",1256303,Alarik Behm,Alarik Behm,167.0,170.0,4.0,1945,urn:nbn:se:nordiskamuseet:diva-961
"Szabó, Mátyás",1304699,Albert Eskeröd : 1904-1987,Nordiska museets personal;Albert Eskeröd,221.0,222.0,2.0,1988,urn:nbn:se:nordiskamuseet:diva-1600
"Waldetoft, Dan",1346185,Album och ideal : svaren på en frågelista om amatörfotografi,Amatörfotografer;Amatörfotografi;Fotografi;Nordiska museets frågelistor,122.0,139.0,18.0,2009,urn:nbn:se:nordiskamuseet:diva-1962
"Arnö-Berg, Inga",1302117,Alexis Engdahl - en skaffare i Artur Hazelius tjänst,Föremålssamlingar;Museisamlingar,43.0,56.0,14.0,1983,urn:nbn:se:nordiskamuseet:diva-1522
"Nyström, Bengt",1295378,Alf Wallander och Rörstrand - något om svensk jugendkeramik,Keramik;Keramiker;Rörstrand;Jugend,93.0,108.0,16.0,1967,urn:nbn:se:nordiskamuseet:diva-1355
"Tegnér, Torsten",1288741,Alice Tegnérs Tegnabo,Alice Tegnér;Bostäder;Djursholm,115.0,132.0,18.0,1955,urn:nbn:se:nordiskamuseet:diva-1119
"Jönsson, Bodil",1364966,Alla dessa åldrar : om livets samtidigheter,Åldrande,198.0,213.0,16.0,2015,urn:nbn:se:nordiskamuseet:diva-2102
