Name,ArticlesTotal,PagesTotal,EarliestArticle,LatestArticle,Articles,ArticleMean,ActiveYears,KeywordsUsed,BornYear,Gender
"Hammarstedt, Nils Edvard",43,424.0,1891-01-01,1932-12-01,"[1892.0, 1932.0, 1925.0, 1907.0, 1918.0, 1908.0, 1895.0, 1913.0, 1916.0, 1909.0, 1908.0, 1918.0, 1900.0, 1905.0, 1906.0, 1912.0, 1909.0, 1903.0, 1909.0, 1929.0, 1919.0, 1908.0, 1915.0, 1906.0, 1914.0, 1919.0, 1916.0, 1906.0, 1900.0, 1921.0, 1915.0, 1907.0, 1915.0, 1891.0, 1906.0, 1927.0, 1906.0, 1907.0, 1902.0, 1905.0, 1916.0, 1902.0, 1928.0]",1910.8139534883721,42,"[('Folktro', 13), ('Julseder', 7), ('Bröllop', 3), ('Björnar', 2), ('Bröd', 2), ('Folkkonst', 2), ('Jordbruk', 2), ('Jakt', 2), ('Sjukdomar', 1), ('Folkmedicin', 1), ('Biodling', 1), ('Religion', 1), ('Båtbyggnad', 1), ('Samer', 1), ('Bebyggelse', 1), ('Gårdar', 1), ('Högtider', 1), ('Samhällsliv', 1), ('Sägner', 1), ('Legender', 1), ('Berättande', 1), ('Utsmyckning och dekoration', 1), ('Offer', 1), ('Julmat', 1), ('Julkrubbor', 1), ('Luciafirande', 1), ('Folktro. Månkult', 1), ('Månen - religiösa aspekter', 1), ('Konfekt', 1), ('Godis', 1), ('Skörd', 1), ('Fiske', 1), ('Boskapsskötsel', 1), ('Majstänger', 1), ('Folkseder', 1), ('Traditioner', 1)]",,
"NN, nn",37,313.0,1889-01-01,1972-12-01,"[1891.0, 1967.0, 1903.0, 1904.0, 1918.0, 1907.0, 1923.0, 1971.0, 1906.0, 1913.0, 1915.0, 1907.0, 1906.0, 1911.0, 1909.0, 1923.0, 1953.0, 1968.0, 1915.0, 1908.0, 1944.0, 1906.0, 1889.0, 1924.0, 1930.0, 1972.0, 1907.0, 1920.0, 1953.0, 1941.0, 1902.0, 1930.0, 1907.0, 1906.0, 1923.0, 1907.0, 1927.0]",1921.7837837837837,84,"[('Skråväsen', 2), ('Solliden', 2), ('Skansen', 2), ('Jakt', 2), ('Utställningar', 1), ('Nordiska museet', 1), ('Antikviteter', 1), ('Majstänger', 1), ('Interiörer', 1), ('Leksaker', 1), ('Dockor', 1), ('Möbler', 1), ('Skrivbord', 1), ('Bondgårdar', 1), ('Samer', 1), ('folktro', 1), ('Skulptur', 1), ('Stråkinstrument', 1), ('Nationalkaraktär', 1), ('Bröllopsmusik', 1), ('Norrbotten', 1), ('Kyrkan', 1), ('Dryckeskärl', 1), ('Folktro', 1), ('Utställningsverksamhet', 1), ('Begravningsseder', 1), ('Begravningsplatser', 1), ('Muséer', 1), ('Kulturhistoriska muséer', 1), ('Julita', 1), ('Restaureringskonst', 1), ('Byggnader', 1), ('Herrgårdar', 1), ('Skogsbruk - historia', 1), ('Vargjakt', 1), ('Julseder', 1), ('Dokumentation', 1)]",,
"Wallin, Sigurd",32,494.0,1911-01-01,1967-12-01,"[1961.0, 1926.0, 1963.0, 1948.0, 1931.0, 1947.0, 1919.0, 1918.0, 1955.0, 1911.0, 1960.0, 1953.0, 1922.0, 1952.0, 1967.0, 1950.0, 1921.0, 1958.0, 1938.0, 1957.0, 1932.0, 1962.0, 1951.0, 1964.0, 1925.0, 1945.0, 1927.0, 1965.0, 1956.0, 1954.0, 1937.0, 1963.0]",1944.9375,57,"[('Museisamlingar', 5), ('1800-talet', 4), ('Möbler', 4), ('Skråväsen', 2), ('Strängnäs', 2), ('Kulturhistoria', 2), ('Möbelsnickare', 2), ('Märta Helena Reenstierna', 2), ('Årstafrun', 2), ('Heraldik', 1), ('Adel', 1), ('Barockkonst', 1), ('Sängar', 1), ('1600-talet', 1), ('Kyrklig konst', 1), ('Skisser', 1), ('Teckningar', 1), ('Metallbearbetning', 1), ('Tennarbeten', 1), ('Prästgårdar', 1), ('Samlarverksamhet', 1), ('Byar - historia', 1), ('Stämplar', 1), ('Danmark', 1), ('Johan Udbye', 1), ('Museiväsen', 1), ('Bostäder', 1), ('Såtenäs', 1), ('Erik Dahlberg', 1), ('Suecia antiqa et hodierna', 1), ('1700-talet', 1), ('Carl von Linné', 1), ('Lampor', 1), ('Ljuskronor', 1), ('Belysniong', 1), ('Tyresö slott', 1), ('Arkitekturmodeller', 1), ('Nordiska museet', 1), ('Utställningar', 1), ('Interiörer', 1), ('Inredning', 1), ('Rummet (arkitektur)', 1), ('Adelsvapen', 1), ('Sverige', 1), ('Bordsdekorationer', 1), ('Rokoko (möbelkonst)', 1), ('Möbelstilar', 1), ('Gustaviansk stil', 1), ('Konsthantverk', 1), ('Hantverk', 1), ('Möbeltillverkning', 1), ('Tapeter', 1), ('Tapetmåleri', 1), ('Arbete', 1), ('Boende', 1), ('Flaskfoder', 1)]",,
"Lindblom, Andreas",30,346.0,1930-01-01,1961-12-01,"[1949.0, 1950.0, 1936.0, 1953.0, 1946.0, 1952.0, 1955.0, 1931.0, 1939.0, 1956.0, 1932.0, 1941.0, 1951.0, 1934.0, 1952.0, 1930.0, 1931.0, 1961.0, 1949.0, 1942.0, 1938.0, 1956.0, 1945.0, 1932.0, 1954.0, 1950.0, 1951.0, 1933.0, 1947.0, 1952.0]",1944.9333333333334,32,"[('Byggnader', 4), ('Skansen', 3), ('Svindersvik', 3), ('Nordiska museet', 2), ('Utställningar', 2), ('Textil', 2), ('Julita gård', 1), ('Anna Rudbeck', 1), ('Personal i Nordiska museet', 1), ('Arkitekttävlingar', 1), ('August Malmström', 1), ('Målningar', 1), ('Nationaldagsfirande', 1), ('Norge', 1), ('Smycken', 1), ('Ekshäradsgården', 1), ('1800-talet', 1), ('Ritningar', 1), ('Utsmyckning och dekoration', 1), ('Museisamlingar', 1), ('Bildvävnader', 1), ('Gotthard Gustafsson', 1), ('Biografi', 1), ('1700-talet', 1), ('Museibyggnader', 1), ('Arkitekter', 1), ('Bildanalys', 1), ('Löfstad', 1), ('Folkbildning - historia', 1), ('Etnologi - forskning', 1), ('Utställningsverksamhet', 1), ('Kyrkomåleri', 1), ('Bilder - religiösa aspekter', 1), ('Spånga kyrka', 1), ('Rudolf Cederström', 1), ('Arkitektur', 1), ('Bebyggelse', 1), ('Boende', 1), ('Herrgårdar', 1), ('Solliden', 1), ('Tyresö slott', 1), ('Folkdans', 1)]",,
"Lagerquist, Marshall",29,304.0,1935-01-01,1972-12-01,"[1944.0, 1959.0, 1941.0, 1962.0, 1955.0, 1939.0, 1935.0, 1948.0, 1941.0, 1941.0, 1968.0, 1959.0, 1967.0, 1972.0, 1954.0, 1953.0, 1957.0, 1965.0, 1960.0, 1949.0, 1959.0, 1942.0, 1964.0, 1958.0, 1951.0, 1938.0, 1957.0, 1960.0, 1942.0]",1953.103448275862,38,"[('1700-talet', 4), ('Nordiska museet', 4), ('Möbler', 3), ('Julita gård', 3), ('Museisamlingar', 3), ('Skansen', 2), ('Sverige', 2), ('Dryckeskärl', 2), ('Ur (tidmätare)', 2), ('Georg Haupt', 2), ('Serviser', 2), ('Möbelsnickeri', 1), ('Skogaholm', 1), ('Bestick', 1), ('Möbelkonst', 1), ('Intarsia', 1), ('Historia', 1), ('Tonsättare', 1), ('Musiker', 1), ('Keramik', 1), ('Porträtt', 1), ('Julita', 1), ('Georg Khevenhüller', 1), ('1500-talet', 1), ('Golvur', 1), ('Bostäder', 1), ('Herrgårdar', 1), ('1800-talet', 1), ('Nordiska museets personal', 1), ('Hantverkare', 1), ('Ostindiskt porslin', 1), ('Motiv i litteraturen', 1), ('Selma Lagerlöf', 1), ('Möbelsnickare', 1), ('Signaturer', 1), ('Sängar', 1), ('Posthuset', 1), ('Skrin', 1), ('Porslin', 1), ('Grill', 1), ('Livsmedelsbutiker', 1), ('Konsthantverk', 1), ('Vandringsutställningar', 1), ('1900-talet', 1), ('Maktkamp', 1), ('Hovliv', 1), ('Makt (samhällsvetenskaplig)', 1)]",,
"Rosengren, Annette",26,289.0,1985-01-01,2013-12-01,"[2009.0, 2009.0, 2009.0, 2009.0, 2007.0, 2009.0, 2013.0, 2009.0, 1996.0, 2009.0, 2005.0, 2009.0, 2009.0, 2011.0, 2009.0, 2001.0, 2009.0, 2009.0, 2009.0, 1996.0, 2009.0, 2009.0, 2009.0, 2009.0, 2011.0, 1985.0]",2006.8461538461538,29,"[('Fotografi', 18), ('Amatörfotografer', 17), ('Amatörfotografi', 17), ('Sverige', 3), ('Bilar', 3), ('Hemlösa kvinnor', 2), ('Fotoalbum', 2), ('Axel Fredriksson', 1), ('Frida Fredriksson', 1), ('Johan Larsson', 1), ('Augusta Larsson', 1), ('Boris Larsson', 1), ('Erik Tryggelin', 1), ('Staffan Klingspor', 1), ('Nordiska museet', 1), ('Museisamlingar', 1), ('Föremålssamlingar', 1), ('Gösta Nordsvan', 1), ('Hemmet', 1), ('Inger Ståhl', 1), ('Folkkonst', 1), ('Industrisamhället', 1), ('John Ericsson', 1), ('Landskap', 1), ('Byundersökningar', 1), ('Maja Upmark', 1), ('Mat', 1), ('Måltider', 1), ('Nils Peter Blix', 1), ('Peter Mesch', 1), ('Raggare', 1), ('Rune Jonsson', 1), ('Rut Nilsson', 1), ('Signe Svärd', 1), ('Svante Warping', 1), ('Kulturlandskap', 1), ('Vardagsliv', 1)]",,
"Wistrand, Per Gustaf",24,311.0,1889-01-01,1911-12-01,"[1911.0, 1895.0, 1908.0, 1897.0, 1900.0, 1906.0, 1911.0, 1898.0, 1892.0, 1902.0, 1910.0, 1898.0, 1907.0, 1890.0, 1898.0, 1894.0, 1889.0, 1900.0, 1897.0, 1903.0, 1895.0, 1900.0, 1891.0, 1909.0]",1900.0416666666667,23,"[('Skråväsen', 4), ('Folkdräkter', 3), ('Folktro', 3), ('Runstavar', 3), ('Byar', 2), ('Prästfruar', 1), ('Svartkonst', 1), ('Visor', 1), ('Vandringssägner', 1), ('Strykning', 1), ('Tidsuppfattning', 1), ('Tidsanvändning', 1), ('Tid', 1), ('Alfabet - historia', 1), ('Småland', 1), ('Silver', 1), ('Prydnadsföremål', 1), ('Konst', 1), ('Konsthantverk', 1), ('Stenhuggare', 1), ('Dopfuntar', 1), ('Familjer', 1), ('Barn', 1)]",,
"Stavenow-Hidemark, Elisabet",22,246.0,1958-01-01,2007-12-01,"[1958.0, 1984.0, 1980.0, 1961.0, 1997.0, 1984.0, 1991.0, 1970.0, 2007.0, 2002.0, 1968.0, 1959.0, 1972.0, 1976.0, 1959.0, 1960.0, 1967.0, 1958.0, 1983.0, 1978.0, 1962.0, 1961.0]",1974.409090909091,50,"[('Sverige', 5), ('Museisamlingar', 4), ('Nordiska museet', 4), ('Textilier', 4), ('1800-talet', 3), ('Arbetarbostäder', 2), ('1900-talet', 2), ('1890-talet', 2), ('1700-talet', 2), ('Heminredning', 2), ('Bostadsutställningar', 1), ('Bostadsundersökningar', 1), ('Gävle', 1), ('Nordiska museets personal', 1), ('Erik Andrén', 1), ('Stockholm', 1), ('Smycken', 1), ('Armband', 1), ('Kulturell identitet', 1), ('Nationalromantik', 1), ('Influenser', 1), ('Hygien', 1), ('Elsa Gullberg', 1), ('Textiltryck', 1), ('Konsthantverk', 1), ('1920-talet', 1), ('Arkitektur', 1), ('Korsstygn', 1), ('Bostäder', 1), ('Utställningar', 1), ('Möbler', 1), ('Mönsterböcker', 1), ('Hemslöjd', 1), ('Skridskoåkning', 1), ('Sportkläder', 1), ('1880-talet', 1), ('Småbruk', 1), ('Egnahemsrörelsen', 1), ('Damast', 1), ('Föremålssamlingar', 1), ('Resenärer', 1), ('Carl Jonas Love Almqvist', 1), ('Vera Cedergren', 1), ('Bäddtextilier', 1), ('1600-talet', 1)]",,
"Keyland, Nils",21,386.0,1906-01-01,1925-12-01,"[1914.0, 1906.0, 1922.0, 1911.0, 1910.0, 1921.0, 1911.0, 1925.0, 1906.0, 1906.0, 1916.0, 1918.0, 1913.0, 1913.0, 1912.0, 1923.0, 1920.0, 1914.0, 1909.0, 1908.0, 1909.0]",1913.6666666666667,20,"[('Eld', 6), ('Eldning', 6), ('Fiske', 2), ('Jakt', 2), ('Fiskeredskap', 1), ('Bröllopskläder', 1), ('Bröd', 1), ('Bakning', 1), ('Samer', 1), ('Lin - bearbetning', 1), ('Fodermedel', 1), ('Foderväxter', 1), ('Utfodring', 1), ('Får', 1), ('Tjära - framställning', 1), ('tillverkning etc', 1), ('Begravning', 1), ('Begravningsseder', 1), ('Tennarbeten', 1), ('Jaktmetoder', 1), ('Byggnader', 1), ('Kåtor', 1), ('Skörd', 1), ('Skörderedskap', 1), ('Slåtter', 1), ('Sagor', 1)]",,
"Erixon, Sigurd",21,443.0,1913-01-01,1958-12-01,"[1940.0, 1918.0, 1922.0, 1915.0, 1958.0, 1913.0, 1929.0, 1920.0, 1931.0, 1931.0, 1929.0, 1955.0, 1917.0, 1929.0, 1930.0, 1924.0, 1924.0, 1915.0, 1915.0, 1929.0, 1921.0]",1926.904761904762,46,"[('Bostäder', 2), ('Byggnader', 2), ('Föreningsliv', 2), ('Prästgårdar', 2), ('Friluftsmuséer', 1), ('Fäbodar', 1), ('Bebyggelse - historia', 1), ('Parstugor', 1), ('Dryckeskärl', 1), ('Bondgårdar', 1), ('Kyrkorestaurering', 1), ('Byggnadsvård', 1), ('Möbeltillverkning', 1), ('Möbelsnickare', 1), ('Fiskelägen', 1), ('Byar', 1), ('Byalag', 1), ('Hälsingland', 1), ('Lin - bearbetning', 1), ('Handarbete', 1), ('Landskapsgillen', 1), ('Arkitekturhistoria', 1), ('Kultplats', 1), ('Brunnar', 1), ('Runor', 1), ('Runinskrifter', 1), ('Klockstaplar', 1), ('Utställningar', 1), ('Utställningsverksamhet', 1)]",,
