Keyword,ArticlesTotal,PagesTotal,EarliestArticle,LatestArticle,Articles,ArticleMean,ActiveYears,AuthorsUsed
Sverige,159,2547.0,1942-01-01,2017-12-01,"[2002.0, 1996.0, 1993.0, 1967.0, 1988.0, 1991.0, 1968.0, 2011.0, 1996.0, 1996.0, 1962.0, 1964.0, 1963.0, 1996.0, 2015.0, 1965.0, 1969.0, 1946.0, 1993.0, 1991.0, 1996.0, 2012.0, 1980.0, 1996.0, 1962.0, 1984.0, 2013.0, 1994.0, 1996.0, 1955.0, 2017.0, 1950.0, 1969.0, 1993.0, 1961.0, 1994.0, 1991.0, 2005.0, 2005.0, 2005.0, 1979.0, 1947.0, 2017.0, 2015.0, 1958.0, 2008.0, 1968.0, 1982.0, 1985.0, 1991.0, 1986.0, 2014.0, 2017.0, 1993.0, 1993.0, 1993.0, 1994.0, 1997.0, 1986.0, 1954.0, 2004.0, 2013.0, 2013.0, 1984.0, 2001.0, 1986.0, 1981.0, 1996.0, 1991.0, 1984.0, 2015.0, 2014.0, 2015.0, 1994.0, 1967.0, 1991.0, 1996.0, 2000.0, 1945.0, 1984.0, 2012.0, 2000.0, 2015.0, 1972.0, 1963.0, 1962.0, 2012.0, 1957.0, 2011.0, 1962.0, 1960.0, 1988.0, 1982.0, 2001.0, 1983.0, 2001.0, 2005.0, 2012.0, 2005.0, 1967.0, 1942.0, 1996.0, 1967.0, 2000.0, 1996.0, 2004.0, 1988.0, 1964.0, 1962.0, 1996.0, 1996.0, 1996.0, 1970.0, 1968.0, 2006.0, 1993.0, 1981.0, 1967.0, 1961.0, 1954.0, 1956.0, 1964.0, 1993.0, 1967.0, 1993.0, 1996.0, 1967.0, 1982.0, 1984.0, 2013.0, 1993.0, 1994.0, 1963.0, 2000.0, 1968.0, 2015.0, 1988.0, 1970.0, 1967.0, 1981.0, 2012.0, 1981.0, 2001.0, 1993.0, 1991.0, 1996.0, 1984.0, 2001.0, 1996.0, 1996.0, 1968.0, 1968.0, 1994.0, 2000.0, 1991.0, 1993.0, 1981.0, 1997.0, 1991.0]",1987.2075471698113,76,"[('Stavenow-Hidemark, Elisabet', 5), ('Jobs Arnberg, Anna-Karin', 4), ('Knutsson, Johan', 4), ('Nylén, Anna-Maja', 3), ('Eklund Nyström, Sigrid', 3), ('Biörnstad, Arne', 3), ('Szabó, Mátyás', 3), ('Rosengren, Annette', 3), ('Berg, Gösta', 3), ('Liedgren, Rut', 3), ('Lagerquist, Marshall', 2), ('Conradson, Birgitta', 2), ('Bringéus, Nils-Arvid', 2), ('Rehnberg, Mats', 2), ('Kättström Höök, Lena', 2), ('Waldetoft, Dan', 2), ('Westergren, Christina', 2), ('Medelius, Hans', 2), ('Johansson, Claes', 2), ('Olsson, Marianne', 2), ('Ciszuk, Martin', 1), ('Lithman, Yngve', 1), ('Tyrfelt, Annika', 1), ('Cederlund, Carl Olof', 1), ('Bergman, Ingrid', 1), ('Lindström, Ulla', 1), ('Sörlin, Sverker', 1), ('Ekström, Gert', 1), ('Tengström, Emin', 1), ('Nyman, Anders', 1), ('Andrén, Erik', 1), ('Sjögren, Annick', 1), ('Grape, Birger W.', 1), ('Andersson, Marianne', 1), ('Seitz, Heribert', 1), ('Åberg, Alf', 1), ('Lewin, Leif', 1), ('Polite, Oivvio', 1), ('Kjellström, Rolf', 1), ('Blomkvist, Pär', 1), ('Wintzell, Inga', 1), ('Dern, Karin', 1), ('Furingsten, Agne', 1), ('Pripp, Oscar', 1), ('Bæckström, Arvid', 1), ('Andemar, Linnea', 1), ('Kvillner, Gunnar Gabriel', 1), ('Dahlman, Eva', 1), ('Klintberg, Bengt af', 1), ('Schön, Ebbe', 1), ('Londos, Eva', 1), ('Ling, Jan', 1), ('Hoffman, Ulrika', 1), ('Lantto, Patrik', 1), ('Mörkenstam, Ulf', 1), ('Cnattingius, Claes', 1), ('Adamson, Rolf', 1), ('Ågren, Katarina', 1), ('Palm, Per-Olof', 1), ('Hedberg, Jonas', 1), ('Proschwitz, Gunnar, von', 1), ('Öhman, Christer', 1), ('Zetterberg, Kent', 1), ('Bonge-Bergengren, Inger', 1), ('Granlund, Lis', 1), ('Hirdman, Yvonne', 1), ('Ehn, Wolter', 1), ('Scander, Ralph', 1), ('Morra, Rawia', 1), ('Fägerborg, Eva', 1), ('Larsson, Per', 1), ('Leino, Matti Wiking', 1), ('Larsson, Marianne', 1), ('Hellspong, Mats', 1), ('Granlund, John', 1), ('Hult, Jan', 1), ('Fundberg, Jesper', 1), ('Bursell, Barbro', 1), ('Peurell, Annika', 1), ('Dahlén, Peter', 1), ('Hidemark, Ove', 1), ('Lundwall, Sten', 1), ('Landin, Mats', 1), ('Näsström, Gustaf', 1), ('Eldvik, Berit', 1), ('Johannesson, Erik', 1), ('Blomqvist, Annika', 1), ('Eriksson, Per', 1), ('Tornehed, Stig', 1), ('Maxén, Maria', 1), ('Baksi, Nalin', 1), ('Eskeröd, Albert', 1), ('Andersson, Gunder', 1), ('Heurgren, Vendela', 1), ('Danielson, Sofia', 1), ('Wallin, Sigurd', 1), ('Tunberg, Anders', 1), ('Ronström, Ove', 1), ('Berg, Jonas', 1), ('Lagercrantz, Bo', 1), ('Bringeus, Nils-Arvid', 1), ('Holmquist, Kersti', 1), ('Odelberg, Wilhelm', 1), ('Johannesson, Lena', 1), ('Colling, Terje', 1), ('Topelius, Ann-Sofi', 1), ('Salomonsson, Anders', 1), ('Resare, Ann', 1), ('Norberg, Johan R.', 1), ('Palme, Sven Ulric', 1), ('Wall, Tora', 1), ('Olausson, Magnus', 1), ('Hazelius-Berg, Gunnel', 1), ('Carlsson, Sten', 1), ('Bly, Ingela', 1), ('Douhan, Bernt', 1), ('Dahl, Birgitta', 1), ('Thorbech, Åsa', 1), ('Berg, Magnus', 1), ('Winberg, Christer', 1), ('Cedrenius, Gunilla', 1), ('Houltz, Anders', 1), ('Wilson, Olle', 1), ('Björck, Staffan', 1), ('Idestam-Almquist, Bengt', 1), ('Zethrin, Nils-Olof', 1), ('Broberg, Richard', 1), ('Brundin, Elisabeth', 1), ('Löwnertz, Susanne', 1)]"
Museisamlingar,96,917.0,1945-01-01,2017-12-01,"[1983.0, 1959.0, 2017.0, 1997.0, 1945.0, 1983.0, 1959.0, 1997.0, 1983.0, 2007.0, 1997.0, 1980.0, 1955.0, 1958.0, 1964.0, 1997.0, 1957.0, 1997.0, 1958.0, 1997.0, 2017.0, 1961.0, 1964.0, 1959.0, 1962.0, 1954.0, 1959.0, 1997.0, 1964.0, 2017.0, 1956.0, 2007.0, 1997.0, 1983.0, 2017.0, 1997.0, 1983.0, 1950.0, 1983.0, 1997.0, 2017.0, 2007.0, 1997.0, 2007.0, 1960.0, 2016.0, 2007.0, 1997.0, 1997.0, 1949.0, 2001.0, 1983.0, 2007.0, 1957.0, 1950.0, 1965.0, 2010.0, 1957.0, 1972.0, 1983.0, 1983.0, 2017.0, 1954.0, 1964.0, 1961.0, 2017.0, 2002.0, 1959.0, 1997.0, 1958.0, 1997.0, 1959.0, 1993.0, 1945.0, 1964.0, 1997.0, 1958.0, 2008.0, 1967.0, 1983.0, 2007.0, 1997.0, 1997.0, 2017.0, 1956.0, 1997.0, 2007.0, 1959.0, 1983.0, 1962.0, 1983.0, 1993.0, 1959.0, 1983.0, 2007.0, 1997.0]",1982.7083333333333,73,"[('Wallin, Sigurd', 5), ('Holmquist, Kersti', 4), ('Stavenow-Hidemark, Elisabet', 4), ('Hammarlund-Larsson, Cecilia', 3), ('Lagercrantz, Bo', 3), ('Brunius, Jan', 3), ('Lagerquist, Marshall', 3), ('Eldvik, Berit', 3), ('Biörnstad, Arne', 3), ('Hamilton, Ulf', 2), ('Eklund Nyström, Sigrid', 2), ('Lindgren, Michael', 2), ('Knutsson, Johan', 2), ('Jansson, Sam Owen', 2), ('Westergren, Christina', 2), ('Gentz, Lauritz', 2), ('Berg, Jonas', 2), ('Arnö-Berg, Inga', 1), ('Bengtsson, Bengt', 1), ('Bergman, Ingrid', 1), ('Hals, Harald', 1), ('Berg, Kerstin G:son', 1), ('Nyström, Bengt', 1), ('Liman, Ingemar', 1), ('Maxén, Maria', 1), ('Resare, Ann', 1), ('Lövgren, Karin', 1), ('Bonge, Inger', 1), ('Svärdström, Elisabeth', 1), ('Axel-Nilsson, Christian', 1), ('Larsson, Marianne', 1), ('Lindblom, Andreas', 1), ('Rosengren, Annette', 1), ('Bergengren, Göran', 1), ('Waldetoft, Dan', 1), ('Mellin, Lars', 1), ('Myrdal, Janken', 1), ('Falck, Per', 1), ('Womack, Anna', 1), ('Berg, Kristina', 1), ('Andrén, Anna', 1), ('Hising Bohm, Gunilla', 1), ('Schön, Ebbe', 1), ('Wintzell, Inga', 1), ('Hazelius-Berg, Gunnel', 1), ('Björling Olausson, Karin', 1), ('Wulfcrona-Dagel, Marie-Louise', 1), ('Upmark, Märta', 1), ('Rosander, Göran', 1), ('Bjurman, Eva Lis', 1), ('Palmqvist, Lena', 1), ('Fischer, Ernst', 1), ('Palmstierna, Carl-Fredrik', 1), ('Sundberg, Ulrika', 1), ('Persson, Helen', 1), ('Martinius, Birgitta', 1), ('Danielson, Sofia', 1), ('Sommarström, Bo', 1), ('Wästberg, Per', 1), ('Nyman, Anders', 1), ('Falck, Per H', 1), ('Tegman, Ulla', 1), ('Lindroth, Helena', 1), ('Åberg, Sandra', 1), ('Ekarv, Margareta', 1), ('Silvén, Eva', 1), ('Cedrenius, Gunilla', 1)]"
Nordiska museet,93,976.0,1945-01-01,2017-12-01,"[1959.0, 1967.0, 2017.0, 1997.0, 1972.0, 1959.0, 1991.0, 2007.0, 1955.0, 2007.0, 1997.0, 1997.0, 1957.0, 1958.0, 1983.0, 1997.0, 1959.0, 2014.0, 1959.0, 1997.0, 2017.0, 1956.0, 1950.0, 1948.0, 2007.0, 1997.0, 1997.0, 1983.0, 2017.0, 1997.0, 2017.0, 2017.0, 2017.0, 2007.0, 2007.0, 1997.0, 2007.0, 1960.0, 2007.0, 1997.0, 1997.0, 2001.0, 1983.0, 2007.0, 1957.0, 2010.0, 1958.0, 1957.0, 2007.0, 1967.0, 1949.0, 1976.0, 1965.0, 1989.0, 1972.0, 1972.0, 1972.0, 1991.0, 1950.0, 1983.0, 1983.0, 2017.0, 2016.0, 2017.0, 1993.0, 2002.0, 1959.0, 1950.0, 1997.0, 1958.0, 1997.0, 1959.0, 2007.0, 1997.0, 1958.0, 1957.0, 2014.0, 2007.0, 1997.0, 1972.0, 1997.0, 1945.0, 1957.0, 2017.0, 1997.0, 1959.0, 1972.0, 2017.0, 1983.0, 1983.0, 1959.0, 2007.0, 1997.0]",1985.6021505376343,73,"[('Hammarlund-Larsson, Cecilia', 4), ('Lagerquist, Marshall', 4), ('Stavenow-Hidemark, Elisabet', 4), ('Lagercrantz, Bo', 3), ('Brunius, Jan', 3), ('Eldvik, Berit', 3), ('Rehnberg, Mats', 3), ('Bengtsson, Bengt', 2), ('Rentzhog, Sten', 2), ('Lundwall, Sten', 2), ('Womack, Anna', 2), ('Lindblom, Andreas', 2), ('Knutsson, Johan', 2), ('Lindroth, Helena', 2), ('Westergren, Christina', 2), ('Biörnstad, Arne', 2), ('Andrén, Erik', 2), ('Holmquist, Kersti', 2), ('NN, nn', 1), ('Bergman, Ingrid', 1), ('Bringéus, Nils-Arvid', 1), ('Nyström, Bengt', 1), ('Lindgren, Michael', 1), ('Maxén, Maria', 1), ('Resare, Ann', 1), ('Lövgren, Karin', 1), ('Larsson, Marianne', 1), ('Rosengren, Annette', 1), ('Myrdal, Janken', 1), ('Falck, Per', 1), ('Bergqvist, Lena', 1), ('Gustafsson Reinius, Lotten', 1), ('Berg, Kristina', 1), ('Andrén, Anna', 1), ('Schön, Ebbe', 1), ('Wintzell, Inga', 1), ('Björling Olausson, Karin', 1), ('Wulfcrona-Dagel, Marie-Louise', 1), ('Gentz, Lauritz', 1), ('Stridsberg, Laura', 1), ('Wallin, Sigurd', 1), ('Dern, Karin', 1), ('Hansson, Hans', 1), ('Medelius, Hans', 1), ('Berg, Gösta', 1), ('Rosander, Göran', 1), ('Borgström, Britt-Marie', 1), ('Jansson, Sam Owen', 1), ('Bjurman, Eva Lis', 1), ('Palmqvist, Lena', 1), ('Sundberg, Ulrika', 1), ('Persson, Helen', 1), ('Selling, Gösta', 1), ('Martinius, Birgitta', 1), ('Danielson, Sofia', 1), ('Hillström, Magdalena', 1), ('Wästberg, Per', 1), ('Rundberg, Wenke', 1), ('Tegman, Ulla', 1), ('Nilsson, Albert', 1), ('Åberg, Sandra', 1), ('Ekarv, Margareta', 1), ('Svensson, Sigfrid', 1), ('Araskog-Toll, Christina', 1), ('Berg, Jonas', 1), ('Hamilton, Ulf', 1)]"
Skansen,75,1115.0,1934-01-01,2017-12-01,"[2016.0, 2016.0, 2016.0, 1934.0, 1959.0, 1974.0, 2017.0, 1971.0, 2017.0, 2013.0, 2017.0, 1950.0, 2006.0, 1963.0, 2014.0, 1936.0, 2012.0, 1954.0, 1955.0, 1997.0, 2017.0, 2007.0, 1959.0, 1957.0, 2016.0, 2010.0, 2016.0, 1979.0, 1959.0, 1994.0, 2017.0, 2017.0, 1974.0, 1952.0, 1954.0, 2016.0, 1954.0, 1948.0, 2003.0, 2016.0, 1964.0, 1953.0, 2011.0, 2016.0, 2016.0, 2016.0, 1958.0, 1954.0, 2015.0, 2016.0, 1953.0, 2016.0, 1934.0, 2016.0, 2017.0, 2016.0, 1964.0, 2008.0, 2016.0, 1999.0, 1946.0, 1993.0, 1967.0, 1972.0, 1972.0, 1962.0, 1954.0, 2017.0, 2010.0, 1988.0, 1972.0, 2017.0, 1947.0, 2016.0, 2017.0]",1988.1333333333334,84,"[('Biörnstad, Arne', 6), ('Bengtsson, Bengt', 4), ('Ahnlund Berg, Charlotte', 4), ('Lindblom, Andreas', 3), ('Sjöqvist, Kerstin', 3), ('Lagerquist, Marshall', 2), ('Hamnqvist, Christina', 2), ('Resare, Ann', 2), ('NN, nn', 2), ('Melin, Boel', 2), ('Liman, Ingemar', 2), ('Brattmyhr, John', 1), ('Kaijser, Lars', 1), ('Kron, Ewa', 1), ('Frisk, Tomas', 1), ('Törngren, Linda', 1), ('Terént, Mia', 1), ('Tornberg, Monica', 1), ('Westberg, Christina', 1), ('Unnerbäck, Reine', 1), ('Norlander, Emil', 1), ('Andrén, Erik', 1), ('Eklund Nyström, Sigrid', 1), ('Brunius, Jan', 1), ('Bernström, John', 1), ('Olsen, Osva', 1), ('Bohman, Stefan', 1), ('Alfredson, Hans', 1), ('Strandin, Marianne', 1), ('Strömdahl, Tobias', 1), ('Liedgren, Rut', 1), ('Nylén, Anna-Maja', 1), ('Carlsson, Anders', 1), ('Lundwall, Sten', 1), ('Janson, Mats', 1), ('Knutsson, Johan', 1), ('Svanberg, Ingvar', 1), ('Hagerman, Maja', 1), ('Engman, Jonas', 1), ('Stridsberg, Laura', 1), ('Wikland, Inga', 1), ('Eldvik, Anna-Karin', 1), ('Blehr, Barbro', 1), ('Hammarlund-Larsson, Cecilia', 1), ('Billow, Anders', 1), ('Sundström, Eva', 1), ('Sundberg, Ulrika', 1), ('Nylund, Anna-Vera', 1), ('Rosén, Bengt', 1), ('Arwidsson, Thorsten', 1), ('Frendel, Yvonne', 1), ('Thorell, Erik', 1), ('Janson, Mats O.', 1), ('Svensson, Sigfrid', 1), ('Furness Lindén, Peter', 1), ('Rentzhog, Sten', 1), ('Ringholm, Karin', 1)]"
1800-talet,60,871.0,1945-01-01,2015-12-01,"[2009.0, 1958.0, 1988.0, 1968.0, 1996.0, 1963.0, 1945.0, 1948.0, 1958.0, 1991.0, 1980.0, 1949.0, 1955.0, 1957.0, 1955.0, 1963.0, 1962.0, 1963.0, 1949.0, 1997.0, 1967.0, 1967.0, 1967.0, 1961.0, 1997.0, 2013.0, 1984.0, 1945.0, 1984.0, 1960.0, 1954.0, 1953.0, 2012.0, 2001.0, 1952.0, 1956.0, 1960.0, 2015.0, 1983.0, 1982.0, 1967.0, 1973.0, 1988.0, 1954.0, 1961.0, 2004.0, 1961.0, 1969.0, 1988.0, 1991.0, 1964.0, 1982.0, 1964.0, 1982.0, 1984.0, 1993.0, 1960.0, 1954.0, 1984.0, 2012.0]",1973.3666666666666,71,"[('Wallin, Sigurd', 4), ('Stavenow-Hidemark, Elisabet', 3), ('Liedgren, Rut', 3), ('Nylén, Anna-Maja', 2), ('Bæckström, Arvid', 2), ('Hazelius-Berg, Gunnel', 2), ('Kjellström, Rolf', 2), ('Lagercrantz, Bo', 2), ('Holmquist, Kersti', 2), ('Wintzell, Inga', 2), ('Dahlgren, Anna', 1), ('Bergman, Ingrid', 1), ('Ekström, Gert', 1), ('Andrén, Erik', 1), ('Lewin, Leif', 1), ('Lindblom, Andreas', 1), ('Forsby, Eva-Lis', 1), ('Tillhagen, Carl-Herman', 1), ('Rentzhog, Sten', 1), ('Lagerquist, Marshall', 1), ('Nodermann, Maj', 1), ('Bonge-Bergengren, Inger', 1), ('Knutsson, Johan', 1), ('Bonde, Knut', 1), ('Szabó, Mátyás', 1), ('Sjöqvist, Kerstin', 1), ('Peurell, Annika', 1), ('Carlsson, Eva', 1), ('Andersson, Ann-Sofie', 1), ('Johannesson, Erik', 1), ('Hlödum, Olöf fra', 1), ('Wikland, Inga', 1), ('Sjövall, Alf', 1), ('Bengtsson, Bengt', 1), ('Waldetoft, Dan', 1), ('Palmstierna, Carl-Fredrik', 1), ('Näsström, Karin', 1), ('Bratt, Sonja', 1), ('Ekström, Anders', 1), ('Johannesson, Lena', 1), ('Tilander, Gunnar', 1), ('Tunander, Ingemar', 1), ('Colling, Terje', 1), ('Topelius, Ann-Sofi', 1), ('Stjernswärd, Brita', 1), ('Biörnstad, Arne', 1), ('Eldvik, Berit', 1)]"
Historia,58,825.0,1934-01-01,2015-12-01,"[1962.0, 2008.0, 2015.0, 1969.0, 1955.0, 1984.0, 2008.0, 1970.0, 1946.0, 2001.0, 1958.0, 1978.0, 2014.0, 1994.0, 2015.0, 1986.0, 2001.0, 1986.0, 1986.0, 1978.0, 1994.0, 1986.0, 2008.0, 2000.0, 1962.0, 1970.0, 1964.0, 1991.0, 2015.0, 1962.0, 2004.0, 1983.0, 2001.0, 1996.0, 1988.0, 1970.0, 1934.0, 1956.0, 1957.0, 1996.0, 1970.0, 1986.0, 2008.0, 1981.0, 1967.0, 1984.0, 2000.0, 1986.0, 1976.0, 1970.0, 1967.0, 2001.0, 2001.0, 1959.0, 2001.0, 2015.0, 2000.0, 2015.0]",1985.1379310344828,82,"[('Berg, Gösta', 4), ('Jobs Arnberg, Anna-Karin', 3), ('Manker, Ernst', 3), ('Szabó, Mátyás', 3), ('Dern, Karin', 2), ('Hazelius-Berg, Gunnel', 2), ('Colling, Terje', 2), ('selling, Olof H.', 1), ('Kuoljock, Sunna', 1), ('Andersson, Marianne', 1), ('Lagerquist, Marshall', 1), ('Conradson, Birgitta', 1), ('Harnesk, Victoria', 1), ('Rosén, Sander', 1), ('Wetter, Bertil', 1), ('Wikström, Kersti', 1), ('Strosova, Olga', 1), ('Kättström Höök, Lena', 1), ('Hirdman, Yvonne', 1), ('Ehn, Wolter', 1), ('Janson, Mats', 1), ('Hellspong, Mats', 1), ('Westergren, Christina', 1), ('Silvén, Eva', 1), ('Dahlén, Peter', 1), ('Hansson, Hans', 1), ('Granlund, John', 1), ('Almqvist, Birgitta', 1), ('Näsström, Gustaf', 1), ('Johannisson, Karin', 1), ('Medelius, Hans', 1), ('Blomqvist, Annika', 1), ('Heurgren, Vendela', 1), ('Biörnstad, Arne', 1), ('Bagge, Fredric', 1), ('Johansson, Claes', 1), ('Kjellström, Rolf', 1), ('Jönses, Lars', 1), ('Berg, Jonas', 1), ('Norberg, Johan R.', 1), ('Hedvall, Yvonne Olrog', 1), ('Bringéus, Nils-Arvid', 1), ('Olsson, Marianne', 1), ('Bernhard, Kerstin', 1), ('Dahl, Birgitta', 1), ('Cedrenius, Gunilla', 1), ('Zethrin, Nils-Olof', 1), ('Hammarlund-Larsson, Cecilia', 1)]"
1700-talet,51,583.0,1931-01-01,2012-12-01,"[1993.0, 1993.0, 1962.0, 1967.0, 1997.0, 1964.0, 1961.0, 1957.0, 1948.0, 1961.0, 1945.0, 1962.0, 1961.0, 1959.0, 1965.0, 1962.0, 1967.0, 1963.0, 1964.0, 1960.0, 1997.0, 1997.0, 1954.0, 1953.0, 1952.0, 2005.0, 1963.0, 1956.0, 1961.0, 1958.0, 1997.0, 1962.0, 1967.0, 1962.0, 1946.0, 1952.0, 1931.0, 1959.0, 1951.0, 1969.0, 1963.0, 1952.0, 1948.0, 1958.0, 1961.0, 1958.0, 1993.0, 1980.0, 1961.0, 1991.0, 2012.0]",1966.2745098039215,82,"[('Lagerquist, Marshall', 4), ('Holmquist, Kersti', 4), ('Lagercrantz, Bo', 3), ('Falck, Per', 2), ('Stjernswärd, Brita', 2), ('Bengtsson, Bengt', 2), ('Bonge, Inger', 2), ('Stavenow-Hidemark, Elisabet', 2), ('Berg, Gösta', 2), ('Bergman, Ingrid', 1), ('Lindgren, Michael', 1), ('Nisbeth, Åke', 1), ('Ekstrand, Gudrun', 1), ('Axel-Nilsson, Christian', 1), ('Brunius, Jan', 1), ('Nodermann, Maj', 1), ('Eskeröd, Albert', 1), ('Rentzhog, Sten', 1), ('Forsby, Eva Lis', 1), ('Wikman, Karl Robert Villehad', 1), ('Colling, Terje', 1), ('Andrén, Erik', 1), ('Lindblom, Andreas', 1), ('Andersson, Maj-Britt', 1), ('Svärdström, Svante', 1), ('Afzelius, Nils', 1), ('Henschen-Ingvar, Ingegerd', 1), ('Schön, Ebbe', 1), ('Wallin, Sigurd', 1), ('Näsström, Gustaf', 1), ('Axel-Nilsson, Göran', 1), ('Leijonhufvud, Sigrid', 1), ('Näsström, Karin', 1), ('Gyllensvärd, Bo', 1), ('Topelius, Ann-Sofi', 1), ('Hellner, Brynolf', 1), ('Medelius, Hans', 1), ('Eldvik, Berit', 1)]"
Folktro,51,620.0,1888-01-01,2015-12-01,"[1976.0, 1991.0, 1895.0, 1891.0, 1976.0, 1918.0, 1969.0, 1916.0, 1906.0, 1891.0, 1905.0, 1976.0, 1999.0, 2015.0, 1903.0, 1909.0, 1907.0, 1907.0, 1976.0, 1919.0, 1908.0, 1909.0, 1908.0, 1997.0, 1916.0, 1908.0, 1923.0, 1906.0, 1908.0, 1911.0, 1915.0, 1919.0, 1891.0, 1927.0, 1904.0, 1890.0, 1898.0, 1888.0, 1906.0, 1963.0, 1922.0, 1892.0, 1967.0, 1914.0, 1905.0, 1892.0, 1894.0, 1929.0, 1912.0, 1895.0, 1928.0]",1923.3333333333333,128,"[('Hammarstedt, Nils Edvard', 13), ('Vigström, Eva', 4), ('Wistrand, Per Gustaf', 3), ('Hagberg, Louise', 3), ('Tillhagen, Carl-Herman', 2), ('Schön, Ebbe', 2), ('Kvideland, Reimund', 1), ('Palmenfelt, Ulf', 1), ('Steile, Ove B', 1), ('Danielson, Eva', 1), ('Lindhagen, Arvid', 1), ('Unander, Ferdinand', 1), ('Klintberg, Bengt af', 1), ('Kättström Höök, Lena', 1), ('Flentzberg, Anton', 1), ('Wieselgren, Oscar', 1), ('Velure, Magne', 1), ('Hård af Segerstad, Kerstin', 1), ('Arne, T J', 1), ('NN, nn', 1), ('Johansson, Levi', 1), ('Sandström, Josef', 1), ('Rudberg, Gunnar', 1), ('Lönnberg, Einar', 1), ('Rosén, Helge', 1), ('Svensson, Sigfrid', 1), ('Samzelius, Hugo', 1), ('Magnusson, Jan', 1), ('Eskeröd, Albert', 1), ('Elgström, Ossian', 1), ('Samuelsson, Sixten', 1), ('Ahlberg, A P', 1)]"
Samer,40,593.0,1895-01-01,2016-12-01,"[2008.0, 1913.0, 1922.0, 1926.0, 1915.0, 1908.0, 2008.0, 1912.0, 2008.0, 1958.0, 2008.0, 1942.0, 1969.0, 1964.0, 1895.0, 1965.0, 1910.0, 1945.0, 1902.0, 1936.0, 1919.0, 1900.0, 1897.0, 1904.0, 2008.0, 2008.0, 2008.0, 1991.0, 2016.0, 2008.0, 1964.0, 2008.0, 2008.0, 1961.0, 2008.0, 2008.0, 1949.0, 1976.0, 1959.0, 2008.0]",1960.55,122,"[('Manker, Ernst', 5), ('Wiklund, K B', 3), ('Kjellström, Rolf', 3), ('Silvén, Eva', 2), ('Sommarström, Bo', 2), ('Baer, Lars-Anders', 2), ('Kuoljock, Sunna', 1), ('Stadling, J', 1), ('Klein, Ernst', 1), ('NN, nn', 1), ('Hammarstedt, Nils Edvard', 1), ('Harnesk, Victoria', 1), ('Pettersson, O P', 1), ('Lantto, Patrik', 1), ('Mörkenstam, Ulf', 1), ('Westergren, Christina', 1), ('Hatt, Emelie Demant', 1), ('Granlund, John', 1), ('Svenonius, Fredrik', 1), ('Keyland, Nils', 1), ('Rosén, Helge', 1), ('Wiklund, Karl Bernhard', 1), ('Samzelius, Hugo', 1), ('Nylund, Anna-Vera', 1), ('Jönses, Lars', 1), ('Svonni, Mikael', 1), ('Melin, Boel', 1), ('Hammarlund-Larsson, Cecilia', 1), ('Stoor, Krister', 1), ('Jones-Bamman, Richard', 1), ('Tillhagen, Carl-herman', 1), ('Tunón, Håkan', 1), ('Laestadius, Ann-Helén', 1)]"
Fotografi,38,447.0,1967-01-01,2017-12-01,"[2009.0, 2009.0, 2009.0, 2009.0, 2009.0, 2011.0, 2009.0, 2012.0, 1967.0, 1996.0, 2007.0, 2009.0, 2009.0, 2009.0, 2009.0, 2009.0, 2009.0, 2009.0, 2009.0, 2009.0, 2017.0, 2012.0, 2011.0, 2009.0, 2009.0, 2009.0, 2009.0, 2009.0, 2009.0, 2009.0, 2009.0, 2009.0, 2015.0, 2009.0, 2009.0, 2009.0, 2001.0, 1996.0]",2007.578947368421,51,"[('Rosengren, Annette', 18), ('Waldetoft, Dan', 4), ('Dahlman, Eva', 3), ('Kristensson, Karolina', 2), ('Dahlgren, Anna', 1), ('Sörlin, Sverker', 1), ('Brånvall, Birgit', 1), ('Claréus, Märta', 1), ('Landin, Mats', 1), ('Kaijser, Lars', 1), ('Arenhill, Emma', 1), ('Westergren, Christina', 1), ('Vretblad, Gunvor', 1), ('Wall, Tora', 1), ('Palmér, Emma', 1), ('Fredriksson, Emma', 1), ('Bernhard, Kerstin', 1), ('Wilson, Olle', 1)]"
